,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
574,QNW,UPCOM,STOCK,Cấp thoát nước và XD Quảng Ngãi,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi,UPX
575,QNU,UPCOM,STOCK,Môi trường Đô thị Quảng Nam,Công ty Cổ phần Môi trường Đô thị Quảng Nam,UPX
576,QNT,UPCOM,STOCK,Tư vấn và Đầu tư Phát triển Quảng Nam,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam,UPX
577,QNS,UPCOM,STOCK,Đường Quảng Ngãi,Công ty Cổ phần Đường Quảng Ngãi,UPX
578,QNP,HSX,STOCK,Cảng Quy Nhơn,Công ty Cổ phần Cảng Quy Nhơn,STO
579,QNC,UPCOM,STOCK,Xi măng Quảng Ninh,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,UPX
580,QLT,DELISTED,STOCK,Bảo trì đường thủy nội địa số 10,Công ty Cổ phần Quản lý Bảo trì Đường thủy Nội địa số 10,
581,QLD,DELISTED,STOCK,QL và XD Giao thông Lạng Sơn,Công ty Cổ phần Quản lý và Xây dựng Giao thông Lạng Sơn,
582,QHW,UPCOM,STOCK,Nước khoáng Quảng Ninh,Công ty Cổ phần Nước khoáng Quảng Ninh,UPX
583,QHD,HNX,STOCK,Que hàn Việt Đức,Công ty Cổ phần Que hàn điện Việt Đức,STX
584,QCG,HSX,STOCK,Quốc Cường Gia Lai,Công ty Cổ phần Quốc Cường Gia Lai,STO
585,QCC,UPCOM,STOCK,Đầu tư XD và PT Hạ tầng Viễn Thông,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông,UPX
586,QBS,UPCOM,STOCK,Xuất nhập khẩu Quảng Bình,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,UPX
587,PYU,DELISTED,STOCK,Công trình đô thị Phúc Yên,Công ty Cổ phần Môi trường và Công trình đô thị Phúc Yên,
588,PXT,UPCOM,STOCK,Xây lắp Đường ống Dầu khí,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,UPX
589,PXS,UPCOM,STOCK,Lắp máy Dầu khí,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,UPX
590,PXM,UPCOM,STOCK,Xây lắp Dầu khí Miền Trung,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,UPX
591,PXL,UPCOM,STOCK,KCN Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,UPX
592,PXI,UPCOM,STOCK,XL CN và dân dụng Dầu khí,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,UPX
593,PXC,UPCOM,STOCK,Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,UPX
594,PXA,UPCOM,STOCK,Đầu tư và Thương mại Dầu khí Nghệ An,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,UPX
595,PX1,UPCOM,STOCK,Xi măng Sông Lam 2,Công ty Cổ phần Xi măng Sông Lam 2,UPX
596,PWS,UPCOM,STOCK,Cấp thoát nước Phú Yên,Công ty Cổ phần Cấp thoát nước Phú Yên,UPX
597,PWA,UPCOM,STOCK,Bất động sản dầu khí,Công ty Cổ phần Bất động sản dầu khí,UPX
598,PVY,UPCOM,STOCK,Chế tạo Giàn khoan Dầu khí,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,UPX
599,PVX,UPCOM,STOCK,Xây lắp Dầu khí Việt Nam,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,UPX
600,PVV,UPCOM,STOCK,Vinaconex 39,Công ty Cổ phần Vinaconex 39,UPX
601,PVT,HSX,STOCK,Vận tải Dầu khí PVTrans,Tổng Công ty Cổ phần Vận tải Dầu khí,STO
602,PVS,HNX,STOCK,DVKT Dầu khí PTSC,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,STX
603,PVR,UPCOM,STOCK,Đầu tư PVR Hà Nội,Công ty Cổ phần Đầu tư PVR Hà Nội,UPX
604,PVP,HSX,STOCK,Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,STO
605,PVO,UPCOM,STOCK,Dầu nhờn PV Oil,Công ty Cổ phần Dầu nhờn PV Oil,UPX
606,PVM,UPCOM,STOCK,Thiết bị dầu khí (PV MACHINO),Công ty Cổ phần Máy - Thiết bị Dầu khí,UPX
607,PVL,UPCOM,STOCK,Đầu tư Nhà Đất Việt,Công ty Cổ phần Đầu tư Nhà Đất Việt,UPX
608,PVI,HNX,STOCK,Bảo hiểm PVI,Công ty Cổ phần PVI,STX
609,PVH,UPCOM,STOCK,Xây lắp Dầu khí Thanh Hóa,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,UPX
610,PVG,HNX,STOCK,Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,STX
611,PVE,UPCOM,STOCK,Tư vấn Dầu khí,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,UPX
612,PVD,HSX,STOCK,Khoan Dầu khí PVDrilling,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,STO
613,PVC,HNX,STOCK,Hóa chất và Dịch vụ Dầu khí,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,STX
614,PVB,HNX,STOCK,Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,STX
615,PVA,UPCOM,STOCK,Xây dựng dầu khí Nghệ An,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,UPX
616,PV2,HNX,STOCK,Đầu tư PV2,Công ty Cổ phần Đầu tư PV2,STX
617,PTX,HNX,STOCK,VT Petrolimex Nghệ Tĩnh,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,STX
618,PTV,UPCOM,STOCK,Thương mại dầu khí,Công ty Cổ phần Thương mại Dầu khí,UPX
619,PTT,UPCOM,STOCK,Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,UPX
620,PTS,HNX,STOCK,Vận tải Petrolimex HP,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,STX
621,PTP,UPCOM,STOCK,Viễn Thông và In Bưu điện,Công ty Cổ phần PTP,UPX
622,PTO,UPCOM,STOCK,Xây dựng Công trình Bưu điện,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,UPX
623,PTN,DELISTED,STOCK,Phát triển Nhà Khánh Hòa,Công ty Cổ phần Phát triển Nhà Khánh Hòa,
624,PTM,UPCOM,STOCK,Ô tô PTM,"Công ty Cổ phần Sản xuất, Thương mại Và Dịch vụ Ô tô PTM",UPX
