,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
932,LCC,UPCOM,STOCK,Xi măng Hồng Phong,Công ty Cổ phần Xi măng Hồng Phong,UPX
933,LBM,HSX,STOCK,Khoáng sản Lâm Đồng,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,STO
934,LBE,HNX,STOCK,Thương mại và Dịch vụ LVA,Công ty Cổ phần Thương mại và Dịch vụ LVA,STX
935,LBC,DELISTED,STOCK,Thương mại - Đầu tư Long Biên,Công ty Cổ phần Thương mại - Đầu tư Long Biên,
936,LAW,UPCOM,STOCK,Cấp thoát nước Long An,Công ty Cổ phần Cấp thoát nước Long An,UPX
937,LAS,HNX,STOCK,Hóa chất Lâm Thao,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,STX
938,LAI,UPCOM,STOCK,XD Long An IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,UPX
939,LAF,HSX,STOCK,Chế biến Hàng XK Long An,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,STO
940,L63,UPCOM,STOCK,Lilama 69-3,Công ty Cổ phần Lilama 69-3,UPX
941,L62,UPCOM,STOCK,LILAMA 69.2,Công ty Cổ phần Lilama 69 - 2,UPX
942,L61,UPCOM,STOCK,LILAMA 69-1,Công ty Cổ phần Lilama 69-1,UPX
943,L45,UPCOM,STOCK,Lilama 45.1,Công ty Cổ phần Lilama 45.1,UPX
944,L44,UPCOM,STOCK,LILAMA 45.4,Công ty Cổ phần Lilama 45.4,UPX
945,L43,UPCOM,STOCK,LILAMA 45.3,Công ty Cổ phần Lilama 45.3,UPX
946,L40,HNX,STOCK,Đầu tư và Xây dựng 40,Công ty Cổ phần Đầu tư và Xây dựng 40,STX
947,L35,UPCOM,STOCK,Cơ khí Lilama,Công ty Cổ phần Cơ khí Lắp máy Lilama,UPX
948,L18,HNX,STOCK,LICOGI - 18,Công ty Cổ phần Đầu tư và Xây dựng số 18,STX
949,L14,HNX,STOCK,Licogi 14,Công ty Cổ phần Licogi 14,STX
950,L12,UPCOM,STOCK,LICOGI 12,Công ty Cổ phần Licogi 12,UPX
951,L10,HSX,STOCK,LILAMA 10,Công ty Cổ phần Lilama 10,STO
952,KWA,UPCOM,STOCK,Cấp thoát nước Kiến Tường,Công ty Cổ phần Cấp thoát nước và Môi trường Kiến Tường,UPX
953,KVC,UPCOM,STOCK,XNK Inox Kim Vĩ,Công ty Cổ phần Sản xuất Xuất nhập khẩu Inox Kim Vĩ,UPX
954,KTW,DELISTED,STOCK,Cấp nước Kon Tum,Công ty Cổ phần Cấp nước Kon Tum,
955,KTT,UPCOM,STOCK,Tập đoàn Đầu tư KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,UPX
956,KTS,HNX,STOCK,Đường Kon Tum,Công ty Cổ phần Đường Kon Tum,STX
957,KTL,UPCOM,STOCK,Kim khí Thăng Long,Công ty Cổ phần Kim khí Thăng Long,UPX
958,KTC,UPCOM,STOCK,Thương mại Kiên Giang,Công ty Cổ phần Thương mại Kiên Giang,UPX
959,KSV,HNX,STOCK,Khoáng sản TKV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,STX
960,KST,HNX,STOCK,KASATI,Công ty Cổ phần KASATI,STX
961,KSQ,UPCOM,STOCK,CNC Capital Việt Nam,Công ty Cổ phần CNC Capital Việt Nam,UPX
962,KSH,UPCOM,STOCK,Damac GLS,Công ty Cổ phần Damac GLS,UPX
963,KSF,HNX,STOCK,Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,STX
964,KSD,HNX,STOCK,Đầu tư DNA,Công ty Cổ phần Đầu tư DNA,STX
965,KSB,HSX,STOCK,Khoáng sản Bình Dương,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,STO
966,KPF,UPCOM,STOCK,Đầu tư Tài sản KOJI,Công ty Cổ phần Đầu tư Tài sản KOJI,UPX
967,KOS,HSX,STOCK,Công ty KOSY,Công ty Cổ phần KOSY,STO
968,KMT,HNX,STOCK,Kim khí Miền Trung,Công ty Cổ phần Kim khí Miền Trung,STX
969,KMR,HSX,STOCK,MIRAE,Công ty Cổ phần Mirae,STO
970,KLM,DELISTED,STOCK,Kim loại màu Nghệ Tĩnh,Công ty Cổ phần Kim loại màu Nghệ Tĩnh,
971,KLF,UPCOM,STOCK,KLF Global,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,UPX
972,KLB,UPCOM,STOCK,KienlongBank,Ngân hàng Thương mại Cổ phần Kiên Long,UPX
973,KKC,HNX,STOCK,Tập đoàn Thành Thái,Công ty Cổ phần Tập đoàn Thành Thái,STX
974,KIP,UPCOM,STOCK,K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,UPX
975,KHW,UPCOM,STOCK,Cấp thoát nước Khánh Hòa,Công ty Cổ phần Cấp thoát nước Khánh Hòa,UPX
976,KHS,HNX,STOCK,Thủy sản Kiên Hùng,Công ty Cổ phần Kiên Hùng,STX
977,KHP,HSX,STOCK,Điện lực Khánh Hòa,Công ty Cổ phần Điện lực Khánh Hòa,STO
978,KHL,UPCOM,STOCK,VLXD Hưng Long,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,UPX
979,KHG,HSX,STOCK,Tập đoàn Khải Hoàn Land,Công ty Cổ phần Tập đoàn Khải Hoàn Land,STO
980,KHD,UPCOM,STOCK,Khoáng sản Hải Dương,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",UPX
981,KHB,DELISTED,STOCK,Khoáng sản Hòa Bình,Công ty Cổ phần Khoáng sản Hòa Bình,
982,KHA,DELISTED,STOCK,Đầu tư và DV Khánh Hội,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội,
983,KGM,UPCOM,STOCK,XNK Kiên Giang,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,UPX
984,KDM,HNX,STOCK,Tập đoàn GCL,Công ty Cổ phần Tập đoàn GCL,STX
985,KDH,HSX,STOCK,Nhà Khang Điền,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,STO
986,KDC,HSX,STOCK,Tập đoàn KIDO,Công ty Cổ phần Tập đoàn KIDO,STO
987,KCE,DELISTED,STOCK,Bê tông Ly tâm ĐL Khánh Hòa,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,UPX
988,KCB,UPCOM,STOCK,Khoáng Sản Luyện Kim Cao Bằng,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,UPX
989,KBC,HSX,STOCK,TCT Đô thị Kinh Bắc,Tổng Công ty Phát triển Đô thị Kinh Bắc,STO
990,KAC,DELISTED,STOCK,Địa ốc Khang An,Công ty Cổ phần Đầu tư Địa ốc Khang An,UPX
991,JVC,HSX,STOCK,Đầu tư và Phát triển Y tế Việt Nhật,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,STO
992,JOS,UPCOM,STOCK,Thủy sản Minh Hải,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,UPX
993,IVS,HNX,STOCK,Chứng khoán Guotai Junan (Việt Nam),Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),STX
994,ITS,UPCOM,STOCK,Thương mại và DV - Vinacomin,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",UPX
995,ITQ,HNX,STOCK,Tập đoàn Thiên Quang,Công ty Cổ phần Tập đoàn Thiên Quang,STX
996,ITD,HSX,STOCK,Công nghệ ITD,Công ty Cổ phần Công nghệ ITD,STO
997,ITC,HSX,STOCK,Đầu tư kinh doanh Nhà,Công ty Cổ phần Đầu tư - Kinh doanh nhà,STO
998,ITA,UPCOM,STOCK,Đầu tư CN Tân Tạo,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,UPX
999,IST,UPCOM,STOCK,ICD Tân Cảng Sóng Thần,Công ty Cổ phần ICD Tân Cảng Sóng Thần,UPX
1000,ISH,UPCOM,STOCK,Thủy điện Srok Phu Miêng,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO,UPX
1001,ISG,UPCOM,STOCK,Vận tải biển và Hợp tác LĐ Quốc Tế,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,UPX
1002,IRC,UPCOM,STOCK,Cao su Công nghiệp,Công ty Cổ phần Cao su Công nghiệp,UPX
1003,IPH,DELISTED,STOCK,,,
1004,IPA,HNX,STOCK,Tập đoàn Đầu tư I.P.A,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,STX
1005,INN,HNX,STOCK,Bao bì và In Nông Nghiệp,Công ty Cổ phần Bao bì và In Nông nghiệp,STX
1006,ING,UPCOM,STOCK,Đầu Tư Và Pt Xây Dựng,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,UPX
1007,INC,HNX,STOCK,Tư vấn Đầu tư IDICO,Công ty Cổ phần Tư vấn Đầu tư IDICO,STX
1008,IN4,UPCOM,STOCK,In số 4,Công ty Cổ phần In số 4,UPX
1009,IMP,HSX,STOCK,IMEXPHARM,Công ty Cổ phần Dược phẩm IMEXPHARM,STO
1010,IME,UPCOM,STOCK,Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,UPX
1011,ILS,UPCOM,STOCK,TM và Dịch vụ Quốc tế,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,UPX
1012,ILC,UPCOM,STOCK,Hợp tác lao động với nước ngoài,Công ty Cổ phần Hợp tác lao động với nước ngoài,UPX
1013,ILB,HSX,STOCK,ICD Tân Cảng Long Bình,Công ty Cổ phần ICD Tân Cảng - Long Bình,STO
1014,ILA,UPCOM,STOCK,Công ty ILA,Công ty Cổ phần ILA,UPX
1015,IJC,HSX,STOCK,Becamex IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,STO
1016,IHK,UPCOM,STOCK,In Hàng Không,Công ty Cổ phần In Hàng Không,UPX
1017,IFS,UPCOM,STOCK,Thực phẩm Quốc tế,Công ty Cổ phần Thực phẩm Quốc tế,UPX
1018,IDV,HNX,STOCK,PT Hạ tầng Vĩnh Phúc,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,STX
1019,IDP,UPCOM,STOCK,Sữa Quốc tế LOF,Công ty Cổ phần Sữa Quốc tế LOF,UPX
1020,IDJ,HNX,STOCK,Đầu tư IDJ Việt Nam,Công ty Cổ phần Đầu tư IDJ Việt Nam,STX
1021,IDI,HSX,STOCK,Đầu tư và PT Đa Quốc Gia I.D.I,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,STO
1022,IDC,HNX,STOCK,IDICO,Tổng Công ty IDICO - CTCP,STX
1023,ICT,HSX,STOCK,Viễn thông - Tin học Bưu điện,Công ty Cổ phần Viễn thông - Tin học Bưu điện,STO
1024,ICN,UPCOM,STOCK,XD Dầu Khí IDICO,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,UPX
1025,ICI,UPCOM,STOCK,Đầu tư và XD Công nghiệp,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,UPX
1026,ICG,HNX,STOCK,Xây dựng Sông Hồng,Công ty Cổ phần Xây dựng Sông Hồng,STX
1027,ICF,UPCOM,STOCK,ĐT TM Thủy sản,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,UPX
1028,ICC,UPCOM,STOCK,Xây dựng công nghiệp,Công ty Cổ phần Xây dựng Công nghiệp,UPX
1029,IBN,DELISTED,STOCK,In báo Nghệ An,Công ty Cổ phần In báo Nghệ An,
1030,IBD,UPCOM,STOCK,In Tổng hợp Bình Dương,Công ty Cổ phần In Tổng hợp Bình Dương,UPX
1031,IBC,UPCOM,STOCK,Đầu tư APAX Holdings,Công ty Cổ phần Đầu tư APAX Holdings,UPX
1032,HWS,UPCOM,STOCK,Cấp nước Huế,Công ty Cổ phần Cấp nước Huế,UPX
1033,HVX,HSX,STOCK,Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,STO
1034,HVT,HNX,STOCK,Hóa chất Việt trì,Công ty Cổ phần Hóa chất Việt Trì,STX
1035,HVN,HSX,STOCK,Vietnam Airlines,Tổng Công ty Hàng không Việt Nam - CTCP,STO
1036,HVH,HSX,STOCK,Đầu tư và Công nghệ HVC,Công ty Cổ phần Đầu tư và Công nghệ HVC,STO
1037,HVG,UPCOM,STOCK,Thủy sản Hùng Vương,Công ty Cổ phần Hùng Vương,UPX
1038,HVA,UPCOM,STOCK,Đầu tư HVA,Công ty Cổ phần Đầu tư HVA,UPX
1039,HUX,DELISTED,STOCK,,,
1040,HUT,HNX,STOCK,Tasco- CTCP,Công ty Cổ phần Tasco,STX
1041,HUG,UPCOM,STOCK,May Hưng Yên,Tổng công ty May Hưng Yên - Công ty Cổ phần,UPX
1042,HUB,HSX,STOCK,Xây lắp Huế,Công ty Cổ phần Xây lắp Thừa Thiên Huế,STO
1043,HU6,UPCOM,STOCK,PT Nhà và Đô thị HUD6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,UPX
1044,HU4,UPCOM,STOCK,Đầu tư và Xây dựng HUD4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,UPX
1045,HU3,UPCOM,STOCK,Xây dựng HUD3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,UPX
1046,HU1,HSX,STOCK,Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,STO
1047,HTW,DELISTED,STOCK,Cấp nước Hà Tĩnh,Công ty Cổ phần Cấp nước Hà Tĩnh,
1048,HTV,HSX,STOCK,Logistics Vicem,Công ty Cổ phần Logistics Vicem,STO
1049,HTT,UPCOM,STOCK,Thương mại Hà Tây,Công ty Cổ phần Thương mại Hà Tây,UPX
1050,HTR,DELISTED,STOCK,Đường sắt Hà Thái,Công ty Cổ phần Đường sắt Hà Thái,
1051,HTP,UPCOM,STOCK,In SGK Hòa Phát,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát,UPX
1052,HTN,HSX,STOCK,Hưng Thịnh Incons,Công ty Cổ phần Hưng Thịnh Incons,STO
1053,HTM,UPCOM,STOCK,Thương mại Hà Nội - Hapro,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,UPX
1054,HTL,HSX,STOCK,Ô tô Trường Long,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,STO
1055,HTK,DELISTED,STOCK,,,
1056,HTI,HSX,STOCK,PT Hạ tầng IDICO,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,STO
1057,HTH,DELISTED,STOCK,Hoa tiêu Hàng hải - TKV,Công ty Cổ phần Hoa tiêu Hàng hải - TKV,
1058,HTG,HSX,STOCK,Dệt may Hòa Thọ,Tổng Công ty Cổ phần Dệt may Hòa Thọ,STO
1059,HTE,UPCOM,STOCK,Kinh doanh điện lực TP HCM,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,UPX
1060,HTC,HNX,STOCK,Thương mại Hóc Môn,Công ty Cổ phần Thương mại Hóc Môn,STX
1061,HT1,HSX,STOCK,VICEM Hà Tiên,Công ty Cổ phần Xi măng VICEM Hà Tiên,STO
1062,HSV,UPCOM,STOCK,Tập đoàn HSV Việt Nam,Công ty Cổ phần Tập đoàn HSV Việt Nam,UPX
1063,HSP,UPCOM,STOCK,Sơn Tổng hợp Hà Nội,Công ty Cổ phần Sơn Tổng hợp Hà Nội,UPX
1064,HSM,UPCOM,STOCK,HANOSIMEX,Tổng Công ty Cổ phần Dệt May Hà Nội,UPX
1065,HSL,HSX,STOCK,Thực phẩm Hồng Hà,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,STO
1066,HSI,UPCOM,STOCK,Phân bón Hóa sinh,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,UPX
1067,HSG,HSX,STOCK,Tập đoàn Hoa Sen,Công ty Cổ phần Tập đoàn Hoa Sen,STO
1068,HSA,UPCOM,STOCK,HESTIA,Công ty Cổ phần HESTIA,UPX
1069,HRT,DELISTED,STOCK,Vận tải đường sắt Hà Nội,Công ty Cổ phần Vận tải đường sắt Hà Nội,
1070,HRC,HSX,STOCK,Cao su Hòa Bình,Công ty Cổ phần Cao su Hòa Bình,STO
1071,HRB,UPCOM,STOCK,Harec Đầu tư và Thương Mại,Công ty Cổ phần Harec Đầu tư và Thương Mại,UPX
1072,HQC,HSX,STOCK,Địa ốc Hoàng Quân,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,STO
1073,HPX,HSX,STOCK,Đầu tư Hải Phát,Công ty Cổ phần Đầu tư Hải Phát,STO
1074,HPW,UPCOM,STOCK,Cấp nước Hải Phòng,Công ty Cổ phần Cấp nước Hải Phòng,UPX
1075,HPT,UPCOM,STOCK,DV Công nghệ Tin học HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,UPX
1076,HPP,UPCOM,STOCK,Sơn Hải Phòng,Công ty Cổ phần Sơn Hải Phòng,UPX
1077,HPM,UPCOM,STOCK,Khoáng sản Hoàng Phúc,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,UPX
1078,HPI,UPCOM,STOCK,Khu công nghiệp Hiệp Phước,Công ty Cổ phần Khu công nghiệp Hiệp Phước,UPX
1079,HPH,UPCOM,STOCK,Hóa Chất Hưng Phát Hà Bắc,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,UPX
1080,HPG,HSX,STOCK,Hòa Phát,Công ty Cổ phần Tập đoàn Hòa Phát,STO
1081,HPD,UPCOM,STOCK,Thủy điện Đăk Đoa,Công ty Cổ phần Thủy điện Đăk Đoa,UPX
1082,HPB,UPCOM,STOCK,Bao bì PP,Công ty Cổ phần Bao bì PP,UPX
1083,HOT,UPCOM,STOCK,Du lịch - DV Hội An,Công ty Cổ phần Du lịch - Dịch vụ Hội An,UPX
1084,HOM,HNX,STOCK,Xi măng VICEM Hoàng Mai,Công ty Cổ phần Xi măng VICEM Hoàng Mai,STX
1085,HNT,DELISTED,STOCK,Xe điện Hà Nội,Công ty Cổ phần Xe điện Hà Nội,
1086,HNR,UPCOM,STOCK,Cồn Rượu và Nước Giải Khát Hà Nội,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,UPX
1087,HNP,UPCOM,STOCK,Hanel Xốp Nhựa,Công ty Cổ phần Hanel Xốp Nhựa,UPX
1088,HNM,UPCOM,STOCK,HANOIMILK,Công ty Cổ phần Sữa Hà Nội,UPX
1089,HNI,UPCOM,STOCK,May Hữu Nghị,Công ty Cổ phần May Hữu Nghị,UPX
1090,HNG,UPCOM,STOCK,Nông nghiệp Quốc tế HAGL,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPX
1091,HNF,UPCOM,STOCK,Bánh kẹo Hữu Nghị,Công ty Cổ phần Thực phẩm Hữu Nghị,UPX
1092,HNE,DELISTED,STOCK,,,
1093,HND,UPCOM,STOCK,Nhiệt điện Hải Phòng,Công ty Cổ phần Nhiệt điện Hải Phòng,UPX
1094,HNB,UPCOM,STOCK,Bến xe Hà Nội,Công ty Cổ phần Bến xe Hà Nội,UPX
1095,HNA,HSX,STOCK,Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,STO
1096,HMS,UPCOM,STOCK,XD Bảo tàng Hồ Chí Minh,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,UPX
1097,HMR,HNX,STOCK,Đá Hoàng Mai,Công ty Cổ phần Đá Hoàng Mai,STX
1098,HMH,HNX,STOCK,Tập đoàn Hải Minh,Công ty Cổ phần Hải Minh,STX
1099,HMG,UPCOM,STOCK,Kim Khí Hà Nội,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,UPX
1100,HMD,UPCOM,STOCK,Hóa chất Minh Đức,Công ty Cổ phần Hóa chất Minh Đức,UPX
1101,HMC,HSX,STOCK,Kim khí TP.HCM,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,STO
1102,HLY,UPCOM,STOCK,Gốm Xây Dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,UPX
1103,HLT,UPCOM,STOCK,Dệt may Hoàng Thị Loan,Công ty Cổ phần Dệt may Hoàng Thị Loan,UPX
1104,HLS,UPCOM,STOCK,Sứ Hoàng Liên Sơn,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,UPX
1105,HLR,DELISTED,STOCK,Đường sắt Hà Lạng,Công ty Cổ phần Đường sắt Hà Lạng,
1106,HLO,UPCOM,STOCK,Công Nghệ Ha Lô,Công Ty Cổ Phần Công Nghệ Ha Lô,UPX
1107,HLG,DELISTED,STOCK,Tập đoàn Hoàng Long,Công ty Cổ phần Tập đoàn Hoàng Long,
1108,HLE,DELISTED,STOCK,Điện chiếu sáng Hải Phòng,Công ty Cổ phần Điện chiếu sáng Hải Phòng,
1109,HLD,HNX,STOCK,Bất động sản HUDLAND,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,STX
1110,HLC,HNX,STOCK,Than Hà Lầm,Công ty Cổ phần Than Hà Lầm - Vinacomin,STX
1111,HLB,UPCOM,STOCK,Bia và NGK Hạ Long,Công ty Cổ phần Bia và Nước giải khát Hạ Long,UPX
1112,HLA,UPCOM,STOCK,Hữu Liên Á Châu,Công ty Cổ phần Hữu Liên Á Châu,UPX
1113,HKT,HNX,STOCK,Đầu tư QP Xanh,Công ty Cổ phần Đầu tư QP Xanh,STX
1114,HKP,DELISTED,STOCK,Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,
1115,HKB,UPCOM,STOCK,Thực phẩm Hà Nội - Kinh Bắc,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,UPX
1116,HJS,HNX,STOCK,Thủy điện Nậm Mu,Công ty Cổ phần Thủy điện Nậm Mu,STX
1117,HJC,UPCOM,STOCK,Công ty Cổ phần Hoà Việt,Công ty Cổ phần Hoà Việt,UPX
1118,HIO,UPCOM,STOCK,Helio Energy,Công ty Cổ Phần Helio Energy,UPX
1119,HII,HSX,STOCK,An Tiến Industries,Công ty Cổ phần An Tiến Industries,STO
1120,HIG,DELISTED,STOCK,Tập đoàn HIPT,Công ty Cổ phần Tập đoàn HIPT,UPX
1121,HID,HSX,STOCK,Halcom Vietnam,Công ty Cổ phần Halcom Vietnam,STO
1122,HHV,HSX,STOCK,Đầu tư Hạ tầng Giao thông Đèo Cả,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,STO
1123,HHS,HSX,STOCK,Đầu tư DV Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,STO
1124,HHR,DELISTED,STOCK,Đường sắt Hà Hải,Công ty Cổ phần Đường sắt Hà Hải,
1125,HHP,HSX,STOCK,HHP Global,Công ty Cổ phần HHP Global,STO
1126,HHN,UPCOM,STOCK,Vận tải và DV Hàng hóa Hà Nội,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,UPX
1127,HHG,UPCOM,STOCK,Vận tải Hoàng Hà,Công ty Cổ phần Hoàng Hà,UPX
1128,HHC,HNX,STOCK,Bánh kẹo Hải Hà,Công ty Cổ phần Bánh kẹo Hải Hà,STX
1129,HGW,DELISTED,STOCK,Công trình đô thị Hậu Giang,Công ty Cổ phần Cấp thoát nước - Công trình Đô thị Hậu Giang,
1130,HGT,UPCOM,STOCK,Du lịch Hương Giang,Công ty Cổ phần Du lịch Hương Giang,UPX
1131,HGR,DELISTED,STOCK,,,
1132,HGM,HNX,STOCK,Khoáng sản Hà Giang,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,STX
1133,HGC,DELISTED,STOCK,,,
1134,HGA,DELISTED,STOCK,,,
1135,HFX,UPCOM,STOCK,XNK Thanh Hà,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,UPX
1136,HFC,UPCOM,STOCK,Xăng dầu HFC,Công ty Cổ phần Xăng dầu HFC,UPX
1137,HFB,UPCOM,STOCK,Công trình Cầu phà TP HCM,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,UPX
1138,HEV,HNX,STOCK,Sách Đại học - Dạy nghề,Công ty Cổ phần Sách Đại học - Dạy nghề,STX
1139,HES,UPCOM,STOCK,Dịch vụ Giải trí Hà Nội,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,UPX
1140,HEP,UPCOM,STOCK,Môi trường và Công trình đô thị Huế,Công ty Cổ phần Môi trường và Công trình đô thị Huế,UPX
1141,HEM,DELISTED,STOCK,Chế tạo điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,
1142,HEJ,UPCOM,STOCK,Tư vấn Xây dựng Thủy Lợi VN,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,UPX
1143,HEC,UPCOM,STOCK,Tư vấn XD Thủy Lợi II (HEC II),Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,UPX
1144,HDW,UPCOM,STOCK,Nước sạch Hải Dương,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,UPX
1145,HDS,DELISTED,STOCK,Giống cây trồng Hải Dương,Công ty Cổ phần Giống cây trồng Hải Dương,UPX
1146,HDP,UPCOM,STOCK,Dược Hà Tĩnh,Công ty Cổ phần Dược Hà Tĩnh,UPX
1147,HDO,UPCOM,STOCK,Hưng Đạo Container,Công ty Cổ phần Hưng Đạo Container,UPX
1148,HDM,UPCOM,STOCK,Dệt May Huế,Công ty Cổ phần Dệt May Huế,UPX
1149,HDG,HSX,STOCK,Tập đoàn Hà Đô,Công ty Cổ phần Tập đoàn Hà Đô,STO
1150,HDC,HSX,STOCK,Phát triển Nhà BR-VT,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,STO
1151,HDB,HSX,STOCK,HDBank,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,STO
1152,HDA,HNX,STOCK,Hãng sơn Đông Á,Công ty Cổ phần Hãng sơn Đông Á,STX
1153,HD8,UPCOM,STOCK,PT Nhà và Đô thị HUD8,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,UPX
1154,HD6,UPCOM,STOCK,Phát triển nhà số 6 Hà Nội,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,UPX
1155,HD2,UPCOM,STOCK,Đầu tư phát triển nhà HUD 2,Công ty Cổ phần Đầu tư phát triển nhà HUD2,UPX
1156,HCT,HNX,STOCK,TM - DV - Vận tải Xi măng Hải Phòng ,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,STX
1157,HCM,HSX,STOCK,Chứng khoán HSC,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,STO
1158,HCI,UPCOM,STOCK,Đầu tư - XD Hà Nội,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,UPX
1159,HCD,HSX,STOCK,SX và Thương mại HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,STO
1160,HCC,HNX,STOCK,Bê tông Hòa Cầm,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,STX
1161,HCB,DELISTED,STOCK,Dệt may 29/3,Công ty Cổ phần Dệt may 29/3,UPX
1162,HC3,UPCOM,STOCK,Xây dựng số 3 Hải Phòng,Công ty Cổ phần Xây dựng số 3 Hải Phòng,UPX
1163,HC1,UPCOM,STOCK,Xây dựng số 1 Hà Nội,Công ty Cổ phần Xây dựng số 1 Hà Nội,UPX
1164,HBS,HNX,STOCK,Chứng khoán Hòa Bình,Công ty Cổ phần Chứng khoán Hòa Bình,STX
